Rank,Name,USFA ID,Team,Season,Prime,Seconde,Tierce,State
1,"Henkelman, Grayson",100316091,TCFC,1569,417,318,417,417
2,"Ruby, Asher ",100346782,Minnetonka Fencing Club,1520,0,500,520,500
3,"Difrank, Tae",100315229,YELFC,1425,600,0,414,411
4,"Naidl, Josiah",100264288,TCFC,1155,321,420,0,414
5,"Menasco, Juliun",100321984,TCFC,1146,318,321,309,198
6,"Ibarra, Alejandro",100340319,YELFC,1143,411,411,0,321
7,"Toews, Jackson",,YELFC,1040,0,20,600,420
8,"Fostervold, Castiel",100356075,TCFC,1028,552,207,62,207
9,"Symmank, Callen",100337537,TCFC,914,500,414,0,0
9,"Symmank, Callen",100337537,TCFC,914,500,414,0,0
11,"Krueger, Benjamin",101594166,Rochester Youth Fencers (RYF),870,204,192,303,171
12,"Naidl, Micah",100320690,TCFC,835,520,315,0,0
13,"Martin, Wesley",,Minnetonka Fencing Club,830,420,20,180,210
13,"Martin, Wesley",,YELFC,830,420,20,180,210
15,"Bastodkar, Ved",,Blake,719,192,20,318,189
16,"Difrank, Avery",100315230,YELFC,714,414,300,0,0
17,"Burchill, Carter ",100810461,FMFC,678,300,0,195,183
18,"Howland, Jonas",,YELFC,620,0,20,0,600
19,"Balderes, Gavin",101045781,Rochester Mayo,617,315,165,67,70
20,"Roy, Griffin",100779794,SPA,611,303,180,66,62
21,"Hokanson, Braddock",,Minnetonka Fencing Club,569,183,20,174,192
22,"Tan, Xinlai",,YELFC,540,0,20,0,520
23,"Davis, Jace",100212997,TCFC,507,198,195,49,65
24,"Mogensen, Ezra",,SYFA,455,309,20,70,56
25,"Bedard, Bennett",,SYFA,420,312,20,47,41
26,"Hickman, Hickman",100900133,Rochester Youth Fencers (RYF),345,177,168,0,0
27,"Ferrara, Asher",100403379,Rochester Mayo,335,0,204,68,63
28,"Neelimandhu, Sahil",,YELFC,323,0,20,0,303
29,"Inwards, Levi",,YELFC,305,186,20,51,48
30,"Tuel, Jude ",100505943,FMFC,241,171,0,50,20
31,"Chaney, Dhru",,SPA,238,174,20,0,44
32,"Woods, Jarek",100339295,Rochester Youth Fencers (RYF),233,0,0,186,47
33,"Stellpflug, Zachary ",100952379,Minnetonka Fencing Club,227,0,0,168,59
34,"Darmawan, Evan",,Blake,221,201,20,0,0
35,"Bauer, Elijah",,Mounds View Fencing Club,218,0,20,198,0
36,"Wang, Allan",,SPA,209,0,20,189,0
37,"Butler, Aurelius",,Blake,200,180,20,0,0
38,"Kakar, Louie",,SYFA,191,171,20,0,0
39,"Fang, Ethan",101092494,Rochester Mayo,175,0,66,60,49
40,"Winters, Linus",,SYFA,172,65,20,44,43
41,"Englert, Brayden",,Blake,142,64,20,58,0
42,"Ahrens, Declan",101077941,Rochester Youth Fencers (RYF),141,68,0,53,20
43,"Cruz, Cole",,YELFC,139,0,20,59,60
44,"Peichel, Joshua",,Holy Family Catholic High School,136,0,20,55,61
45,"Blumhardt, Evan",100355053,FMFC,109,70,0,0,39
46,"Pederson, Owen",,Minnetonka Fencing Club,107,67,20,0,20
47,"Casey, Liam",,Holy Family Catholic High School,94,0,20,20,54
48,"Lifton, Harrison",,SPA,89,69,20,0,0
48,"Sundsbak, Evan",,SYFA,89,0,20,0,69
50,"Zerr, Daemin",,YELFC,71,0,20,0,51
51,"Sundsbak, Evan",101020794,Rochester Youth Fencers (RYF),69,0,0,0,69
52,"Moore, Angus",,YELFC,65,0,20,0,45
53,"Goelz, Aaron",,YELFC,60,0,20,40,0
54,"Kharbanda, Arjun",,SPA,40,0,20,0,20
54,"Bahadur, Aaryan",,SPA,40,0,20,0,20
54,"Perry, Eli",,SPA,40,0,20,0,20
57,"Lamar, Louis",,YELFC,20,0,20,0,0
57,"Gordon, Jack",,SPA,20,0,20,0,0
57,"Savoie, Jackson",,Holy Family Catholic High School,20,0,20,0,0
57,"Morel, James",,SPA,20,0,20,0,0
57,"Thomas, Asher",,Minnetonka Fencing Club,20,0,20,0,0
57,"Ginsburg, Harold",,Blake,20,0,20,0,0
57,"Matusak, Dorian",,Blake,20,0,20,0,0
57,"Unglaub, Max",,Blake,20,0,20,0,0
57,"Ruley, Smith Benjamin",,Minnetonka Fencing Club,20,0,20,0,0
57,"Heller-Lopez, Nicholas",,Mounds View Fencing Club,20,0,20,0,0
57,"Peng, Samuel",,Mounds View Fencing Club,20,0,20,0,0
57,"Walburg, Logan",,Mounds View Fencing Club,20,0,20,0,0
57,"Nathan, Harris",,Rochester Mayo,20,0,20,0,0
57,"Kitzman, Ian",,SYFA,20,0,20,0,0
57,"Pfister, Cameron",,SYFA,20,0,20,0,0
57,"Yuan, Nathanial",,SYFA,20,0,20,0,0
57,"Atkins, Bonham",,SYFA,20,0,20,0,0
57,"Steele, Evan",,SYFA,20,0,20,0,0
57,"Barber, Taryn",,YELFC,20,0,20,0,0
57,"Busse, Max",,YELFC,20,0,20,0,0
57,"Counters, Bryce",,YELFC,20,0,20,0,0
57,"Howard, Leo",,YELFC,20,0,20,0,0
57,"Bodner, Nicolas",,YELFC,20,0,20,0,0
57,"Jones, Isaiah",,YELFC,20,0,20,0,0
57,"Tillotson, Henry",,YELFC,20,0,20,0,0
57,"Zhan, Ethan",,YELFC,20,0,20,0,0
57,"Berchenko, Zack",,SPA,20,0,20,0,0
57,"Meinberg, Evan",,SPA,20,0,20,0,0
57,"Petzschmann, Ravi",,SPA,20,0,20,0,0
86,"Skorheim, Noel",101072879,FMFC,0,0,0,0,0
86,"Limke, Sam ",101432851,FMFC,0,0,0,0,0
86,"Slivinski, Vincent",101419615,Rochester Youth Fencers (RYF),0,0,0,0,0
