Rank,Name,USFA ID,Team,Season,Prime,Seconde,Tierce,State
1,"Siedow, William",100213637,TCFC,2240,520,520,600,600
2,"Mishra, Milan",100212711,SPA,2044,552,552,520,420
3,"Morris, Samuel",,Blake,1966,500,500,414,552
4,"Rowland, Marsden",100346721,CBA,1752,600,600,552,0
5,"Mingo, Joshua",,Rochester Youth Fencers (RYF),1743,411,312,500,520
6,"Taha, Raymond",100346936,Minnetonka Fencing Club,1464,414,420,420,210
7,"Sawyer, David",,Minnetonka Fencing Club,1353,417,411,207,318
8,"Sanford, Wesley",100358084,CBA,1263,210,318,318,417
9,"Nooney, Tatum",100390603,TCFC,1248,306,321,315,306
10,"Halula, Frank",100338390,TCFC,1245,0,414,417,414
11,"Shanks, Michael",,Blake,1224,315,300,306,303
12,"Smith, Bram",,CBA,1152,420,0,321,411
13,"Eldridge, Hudson",,TCFC,1149,318,306,210,315
14,"Tucker, Brady",,Holy Family Catholic High School,1029,303,417,0,309
15,"Caven, Henry",101108632,Minnetonka Fencing Club,921,300,309,0,312
16,"Coley, Liam",,Blake,915,321,0,411,183
17,"Underwood, Dyllan",,Minnetonka Fencing Club,897,198,210,303,186
18,"Meek, Joe",,Blake,834,0,204,309,321
19,"Wakai, Ryoga",,Minnetonka Fencing Club,819,312,207,0,300
20,"Helland, Sam",,Blake,765,183,180,201,201
21,"Nwokocha, Obi",,Blake,765,189,189,198,189
22,"Bailey, Baron",,SPA,759,207,192,192,168
23,"Willer, Ryan",,CBA,717,309,201,0,207
24,"Smith, Connor",,Minnetonka Fencing Club,705,186,168,183,168
25,"Miller, Cole",,Holy Family Catholic High School,705,183,165,186,171
26,"Stenzel, Henry",,TCFC,696,0,315,189,192
27,"Hable, John",,Blake,562,192,0,300,70
28,"Lattin, Thomas",,Blake,561,201,186,0,174
29,"Minnich, Oliver",100440956,TCFC,507,195,0,312,0
30,"Mocol, Jacob",,Holy Family Catholic High School,498,0,303,195,0
31,"Tran, Minh",,SPA,399,0,195,0,204
32,"Rodulfo, Emanuel",,Rochester Youth Fencers (RYF),384,0,0,204,180
33,"Zhang, Eric",,SPA,372,0,174,0,198
34,"Halloran, Mikael",,SPA,366,0,171,0,195
35,"Gao, Jack",,SPA,357,0,180,0,177
36,"Braaten, Erik",100512891,TCFC,204,204,0,0,0
37,"Miest, Davis",100359667,CBA,198,0,198,0,0
38,"Foster, Finnegan",100510927,TCFC,183,0,183,0,0
39,"Ferguson, Edward",,TCFC,177,177,0,0,0
40,"Bakker, Eamon",,SPA,138,0,70,0,68
41,"Erbsen, David",,Blake,137,0,68,0,69
42,"Westemeier, Huxley",,SPA,69,0,69,0,0
43,"Kari, Ryan",,SPA,0,0,0,0,0
44,"Kavuru, Rohan",,Blake,0,0,0,0,0
45,"Casey, Liam",,Holy Family Catholic High School,0,0,0,0,0
46,"Peichel, Joshua",,Holy Family Catholic High School,0,0,0,0,0
47,"Depies, Benjamin",,Minnetonka Fencing Club,0,0,0,0,0
48,"Antonson, Kye",,TCFC,0,0,0,0,0
